225,Chonda Pierce: Enough,Fathom,"$1,260,116",798,N/A,N/A,4/25,5/9
226,3 Idiotas,PNT,"$1,249,233",349,"$609,249",349,6/2,6/29
227,True to the Game,Faith Media,"$1,231,040",461,"$472,436",461,9/8,10/31
228,Steve McQueen: American Icon,Fathom,"$1,229,782",787,N/A,N/A,9/28,9/28
229,The Women's Balcony,Men.,"$1,200,885",34,"$16,620",2,3/3,-
230,Spirited Away (Fathom Event),Fathom,"$1,196,791",632,"$903,896",632,10/27,-
231,The Trip to Spain,IFC,"$1,157,604",140,"$40,875",3,8/11,10/26
232,Step (2017),FoxS,"$1,146,292",306,"$146,488",29,8/4,10/12
233,Lady Macbeth,RAtt.,"$1,129,408",131,"$64,537",5,7/14,10/5
234,Viceroy's House,IFC,"$1,105,717",116,"$48,134",4,9/1,11/9
235,The Battleship Island,CJ,"$1,104,957",41,"$59,344",1,7/26,-
236,Wonderstruck,RAtt.,"$1,060,377",261,"$65,882",4,10/20,1/4
237,Terminator 2: Judgment Day 3D,Distrib.,"$1,037,809",371,"$552,773",371,8/25,9/28
238,TCM Presents Casablanca 75th Anniversary,Fathom,"$1,024,560",725,"$596,068",725,11/12,11/15
239,Columbus,INDEP,"$1,015,744",63,"$26,820",2,8/4,12/14
240,Yu-Gi-Oh! The Dark Side of Dimensions,SV,"$1,015,339",552,"$656,756",381,1/27,2/16
241,Golmaal Again,Rel.,"$1,013,893",265,"$1,013,893",265,10/20,10/22
242,Last Flag Flying,LGF,"$965,481",110,"$40,558",4,11/3,12/21
243,Lucky (2017),Magn.,"$955,925",111,"$43,293",5,9/29,-
244,Landline,Magn.,"$940,854",144,"$52,555",4,7/21,9/28
245,Tubelight,Yash,"$930,058",338,"$930,058",338,6/23,6/25
246,The Red Turtle,SPC,"$921,974",127,"$21,010",3,1/20,6/1
247,Faces Places,Cohen,"$900,000",42,"$31,006",5,10/6,-
248,Frantz,MBox,"$880,883",106,"$18,745",2,3/15,6/22
249,Journey to the West: The Demons Strike Back,Sony,"$880,346",67,"$463,883",67,2/3,3/9
250,The Polar Express (2017 re-release),WB,"$875,150",N/A,"$1,321",N/A,11/17,12/31
251,Jagga Jasoos,UTV,"$861,740",210,"$490,232",210,7/14,8/3
252,Ex-File 3 (Qian Ren 3),CL,"$838,959",24,"$125,291",21,12/29,2/8
253,Patti Cake$,FoxS,"$800,148",303,"$67,599",14,8/18,10/12
254,George Takei's Allegiance,Fathom,"$784,850",476,"$784,850",476,2/19,2/19
255,Film Stars Don't Die in Liverpool,SPC,"$772,478",107,"$34,532",4,12/29,-
256,Mark Felt: The Man Who Brought Down the White House,SPC,"$768,946",332,"$34,217",5,9/29,12/7
257,Mubarakan,Sony,"$758,868",128,"$310,170",128,7/28,8/24
258,May It Last: A Portrait Of The Avett Brothers,Osci.,"$725,286",326,"$9,616",8,9/12,11/2
259,Kirk Cameron REVIVE US 2,Fathom,"$718,607",731,N/A,N/A,10/24,11/2
260,The Exception,A24,"$708,973",48,"$21,351",2,6/2,8/31
261,Canelo Vs. GGG: Supremacy,Fathom,"$703,396",465,"$703,396",465,9/16,9/16
262,Chris Brown: Welcome To My Life,Fathom,"$693,984",413,"$98,088",293,6/8,6/18
263,Titanic (20th Anniversary),Par.,"$691,642",87,"$438,602",87,12/1,12/14
264,Lost in Paris,Osci.,"$691,597",48,"$4,510",1,6/16,11/30
265,Shubh Mangal Saavdhan,Eros,"$689,874",80,"$259,999",80,9/1,10/5
266,The Devotion of Suspect X,CL,"$686,435",46,"$323,207",43,3/31,4/23
267,Walk With Me,Gathr,"$665,642",61,"$9,932",1,8/11,-
268,Wilson,FoxS,"$653,951",311,"$336,227",310,3/24,4/20
269,The Only Living Boy in New York,RAtt.,"$624,332",289,"$54,458",15,8/11,9/28
270,The Midwife,MBox,"$603,582",44,"$21,341",3,7/21,10/26
271,Battle of Memories,CL,"$594,552",42,"$224,942",42,4/28,6/8
272,Novitiate,SPC,"$580,346",163,"$22,724",3,10/27,2/11
273,Tommy's Honour,RAtt.,"$569,306",167,"$209,190",167,4/14,6/1
274,Bitter Harvest,RAtt.,"$557,241",127,"$219,357",127,2/24,4/6
275,Samaritan's Purse: Facing Darkness (Encore),Fathom,"$555,533",656,N/A,N/A,4/10,4/10
276,Dolores,PBS,"$555,309",33,"$13,534",1,9/1,-
277,Brigsby Bear,SPC,"$532,669",408,"$39,652",3,7/28,10/19
278,Human Flow,Magn.,"$527,845",36,"$45,677",3,10/13,12/21
